IDS,Income,Solar energy,Num of members,Energy usage
523,8,0,5,4
524,5,0,2,4
525,4,-2,3,2
526,5,0,5,4
527,3,0,5,2
528,3,0,1,1
529,1,0,1,1
530,2,0,2,2
531,6,0,4,4
532,1,-2,1,2
533,8,0,5,3
534,1,0,3,2
535,6,-2,1,1
536,4,0,2,2
537,8,0,5,4
538,6,-2,1,1
539,5,0,7,3
540,6,0,2,3
541,3,0,3,4
542,3,0,3,2
543,6,-2,3,2
544,1,0,4,3
545,3,-2,3,1
546,2,0,3,3
547,7,0,6,4
548,5,1,2,4
549,1,0,2,1
550,1,-2,1,2
551,6,0,6,4
552,8,1,2,4
553,2,0,3,4
554,2,0,4,4
555,6,0,2,1
556,5,0,4,1
557,3,0,3,4
558,7,0,2,3
559,2,-2,1,1
560,4,0,3,4
561,4,0,1,4
562,5,0,4,4
563,2,0,1,1
564,3,0,2,2
565,1,0,4,2
566,4,-2,4,4
567,4,-2,1,1
568,2,-2,2,1
569,4,0,4,2
570,3,0,6,3
571,3,0,3,2
572,1,-2,3,3
573,5,0,2,3
574,1,-2,1,2
575,1,0,1,4
576,7,0,2,2
577,6,0,4,3
578,2,0,2,1
579,1,0,5,2
580,1,0,4,3
581,6,0,4,2
582,2,0,3,3
583,2,0,1,3
584,1,-2,4,2
585,1,-2,1,2
586,1,-2,1,2
587,4,0,1,3
588,4,0,2,2
589,2,0,1,3
590,2,0,1,1
591,6,0,3,3
592,2,0,1,3
593,5,0,2,4
594,2,0,9,1
595,2,0,1,1
596,2,0,2,3
597,2,-2,4,1
598,1,-2,3,1
599,4,0,2,2
600,2,0,3,4
601,1,-2,2,2
602,3,0,6,2
603,2,-2,1,1
604,8,0,3,1
605,4,0,2,3
606,2,0,1,1
607,3,0,4,4
608,5,0,1,1
609,2,0,3,3
610,1,0,2,1
611,5,-2,2,1
612,6,1,2,3
613,4,0,4,4
614,4,-2,4,2
615,2,0,2,3
616,1,0,2,3
617,8,0,3,2
618,7,-2,2,1
619,1,0,2,2
620,4,-2,2,3
621,4,0,2,4
622,7,0,3,3
623,2,0,5,2
624,4,0,2,4
625,2,0,1,3
626,1,0,1,3
627,7,0,4,2
628,2,-2,1,2
629,1,-2,1,2
630,1,-2,1,2
631,1,-2,3,2
632,3,0,2,3
633,1,0,1,2
634,4,0,5,1
635,1,-2,2,3
636,1,-2,1,1
637,4,0,1,4
638,4,-2,2,2
639,8,0,1,3
640,1,-2,1,1
641,4,0,6,3
642,8,0,2,3
643,1,-2,2,3
644,2,0,5,4
645,2,0,3,2
646,1,-2,5,3
647,4,0,6,3
648,2,0,2,1
649,8,-2,1,1
650,6,0,4,2
651,4,0,6,4
652,4,0,3,4
653,5,0,4,2
654,2,0,1,2
655,3,0,4,4
656,1,0,1,1
657,5,0,5,3
658,8,0,2,4
659,3,-2,1,1
660,4,0,4,4
661,4,0,3,3
662,7,0,2,2
663,8,0,3,2
664,3,0,2,3
665,7,0,3,2
666,1,-2,1,1
667,7,0,2,4
668,1,0,1,1
669,4,0,2,4
670,2,0,2,4
671,4,1,6,3
672,3,0,3,4
673,7,0,2,3
674,8,0,4,4
675,1,0,4,3
676,1,-2,2,1
677,2,0,3,1
678,3,0,5,4
679,6,0,4,3
680,1,-2,1,1
681,2,-2,4,3
682,3,0,2,2
683,4,-2,1,1
684,1,-2,3,1
685,2,-2,4,1
686,8,0,2,3
687,2,-2,4,1
688,5,0,2,1
689,3,-2,1,2
690,2,0,8,1
691,3,0,4,1
692,1,-2,2,1
693,6,0,3,4
694,8,0,3,4
695,2,0,4,4
696,3,0,4,2
697,4,0,2,3
698,8,0,3,1
699,1,-2,1,1
700,1,0,4,4
701,1,0,5,3
702,6,0,4,3
703,2,0,5,3
704,3,0,2,4
705,2,0,1,1
706,3,0,3,4
707,1,-2,1,2
708,5,0,2,4
709,8,0,2,2
710,2,0,2,4
711,3,0,1,3
712,2,0,2,4
713,1,0,1,3
714,2,0,2,1
715,3,0,1,1
716,3,0,3,2
717,4,0,3,4
718,5,0,2,4
719,6,0,1,1
720,4,0,2,4
721,2,-2,2,2
722,3,0,3,4
723,3,0,2,1
724,1,0,2,2
725,2,1,1,3
726,8,-2,4,1
727,3,0,3,2
728,5,0,4,4
729,6,1,4,2
730,6,0,2,1
731,3,0,1,3
732,7,0,1,3
733,5,0,4,4
734,2,-2,2,1
735,4,0,5,4
736,3,-2,3,2
737,4,0,2,3
738,4,0,4,1
739,8,0,4,4
740,3,0,1,3
741,5,0,2,2
742,4,0,2,2
743,8,0,4,4
744,6,0,2,4
